match_id,venue,innings,batting_team,bowling_team,runs,balls
1082591,Rajiv Gandhi International Stadium,1,Hyderabad,Bangalore,59,38.0
1082591,Rajiv Gandhi International Stadium,2,Bangalore,Hyderabad,54,38.0
1082592,Maharashtra Cricket Association Stadium,1,Mumbai,Pune,61,37.0
1082592,Maharashtra Cricket Association Stadium,2,Pune,Mumbai,59,37.0
1082593,Saurashtra Cricket Association Stadium,1,Gujarat,Kolkata,52,37.0
1082593,Saurashtra Cricket Association Stadium,2,Kolkata,Gujarat,73,38.0
1082594,Holkar Cricket Stadium,1,Pune,Punjab,35,36.0
1082594,Holkar Cricket Stadium,2,Punjab,Pune,56,38.0
1082595,M Chinnaswamy Stadium,1,Bangalore,Delhi,41,38.0
1082595,M Chinnaswamy Stadium,2,Delhi,Bangalore,43,37.0
1082596,Rajiv Gandhi International Stadium,1,Gujarat,Hyderabad,40,36.0
1082596,Rajiv Gandhi International Stadium,2,Hyderabad,Gujarat,59,36.0
1082597,Wankhede Stadium,1,Kolkata,Mumbai,59,42.0
1082597,Wankhede Stadium,2,Mumbai,Kolkata,49,42.0
1082598,Holkar Cricket Stadium,1,Bangalore,Punjab,23,36.0
1082598,Holkar Cricket Stadium,2,Punjab,Bangalore,62,37.0
1082599,Maharashtra Cricket Association Stadium,1,Delhi,Pune,62,40.0
1082599,Maharashtra Cricket Association Stadium,2,Pune,Delhi,50,39.0
1082600,Wankhede Stadium,1,Hyderabad,Mumbai,34,36.0
1082600,Wankhede Stadium,2,Mumbai,Hyderabad,61,36.0
1082601,Eden Gardens,1,Punjab,Kolkata,57,41.0
1082601,Eden Gardens,2,Kolkata,Punjab,76,39.0
1082602,M Chinnaswamy Stadium,1,Bangalore,Mumbai,41,38.0
1082602,M Chinnaswamy Stadium,2,Mumbai,Bangalore,21,37.0
1082603,Saurashtra Cricket Association Stadium,1,Pune,Gujarat,64,38.0
1082603,Saurashtra Cricket Association Stadium,2,Gujarat,Pune,61,37.0
1082604,Eden Gardens,1,Kolkata,Hyderabad,40,38.0
1082604,Eden Gardens,2,Hyderabad,Kolkata,45,37.0
1082605,Feroz Shah Kotla,1,Delhi,Punjab,49,36.0
1082605,Feroz Shah Kotla,2,Punjab,Delhi,40,36.0
1082606,Wankhede Stadium,1,Gujarat,Mumbai,46,38.0
1082606,Wankhede Stadium,2,Mumbai,Gujarat,56,42.0
1082607,M Chinnaswamy Stadium,1,Pune,Bangalore,55,37.0
1082607,M Chinnaswamy Stadium,2,Bangalore,Pune,42,36.0
1082608,Feroz Shah Kotla,1,Delhi,Kolkata,53,36.0
1082608,Feroz Shah Kotla,2,Kolkata,Delhi,49,36.0
1082609,Rajiv Gandhi International Stadium,1,Hyderabad,Punjab,29,38.0
1082609,Rajiv Gandhi International Stadium,2,Punjab,Hyderabad,51,38.0
1082610,Saurashtra Cricket Association Stadium,1,Bangalore,Gujarat,45,36.0
1082610,Saurashtra Cricket Association Stadium,2,Gujarat,Bangalore,57,37.0
1082611,Rajiv Gandhi International Stadium,1,Hyderabad,Delhi,39,37.0
1082611,Rajiv Gandhi International Stadium,2,Delhi,Hyderabad,56,36.0
1082612,Holkar Cricket Stadium,1,Punjab,Mumbai,46,36.0
1082612,Holkar Cricket Stadium,2,Mumbai,Punjab,82,38.0
1082613,Eden Gardens,1,Kolkata,Gujarat,65,36.0
1082613,Eden Gardens,2,Gujarat,Kolkata,72,37.0
1082614,Wankhede Stadium,1,Mumbai,Delhi,48,40.0
1082614,Wankhede Stadium,2,Delhi,Mumbai,23,38.0
1082615,Maharashtra Cricket Association Stadium,1,Hyderabad,Pune,45,38.0
1082615,Maharashtra Cricket Association Stadium,2,Pune,Hyderabad,55,36.0
1082616,Saurashtra Cricket Association Stadium,1,Punjab,Gujarat,50,36.0
1082616,Saurashtra Cricket Association Stadium,2,Gujarat,Punjab,50,36.0
1082617,Eden Gardens,1,Kolkata,Bangalore,65,38.0
1082617,Eden Gardens,2,Bangalore,Kolkata,39,39.0
1082618,Wankhede Stadium,1,Pune,Mumbai,48,37.0
1082618,Wankhede Stadium,2,Mumbai,Pune,44,37.0
1082620,Maharashtra Cricket Association Stadium,1,Pune,Kolkata,57,39.0
1082620,Maharashtra Cricket Association Stadium,2,Kolkata,Pune,45,38.0
1082621,M Chinnaswamy Stadium,1,Bangalore,Gujarat,35,38.0
1082621,M Chinnaswamy Stadium,2,Gujarat,Bangalore,49,38.0
1082622,Eden Gardens,1,Delhi,Kolkata,53,37.0
1082622,Eden Gardens,2,Kolkata,Delhi,47,36.0
1082623,Punjab Cricket Association IS Bindra Stadium,1,Hyderabad,Punjab,60,36.0
1082623,Punjab Cricket Association IS Bindra Stadium,2,Punjab,Hyderabad,59,36.0
1082624,Maharashtra Cricket Association Stadium,1,Pune,Bangalore,43,37.0
1082624,Maharashtra Cricket Association Stadium,2,Bangalore,Pune,39,37.0
1082625,Saurashtra Cricket Association Stadium,1,Gujarat,Mumbai,48,39.0
